Address,Price,Links,Dates,Details
"28 S Nome Street Unit E, Aurora, CO 80012","$350,000 ",https://www.zillow.com/homedetails/28-S-Nome-St-UNIT-E-Aurora-CO-80012/13039145_zpid/,On market Aug 25 From 2023-08-23,"2 bds3 ba1,130 sqft"
"3850 N Gold Bug Street, Aurora, CO 80019","$783,950 ",https://www.zillow.com/homedetails/3850-N-Gold-Bug-St-Aurora-CO-80019/2055895472_zpid/,1 day on Zillow From 2023-08-23,"5 bds3 ba3,877 sqft"
"1980 S Xanadu Way Unit 206, Aurora, CO 80014","$179,000 ",https://www.zillow.com/homedetails/1980-S-Xanadu-Way-APT-206-Aurora-CO-80014/13050750_zpid/,1 day on Zillow From 2023-08-23,1 bd1 ba588 sqft
"17630 E Loyola Drive Unit 1821r, Aurora, CO 80013","$250,000 ",https://www.zillow.com/homedetails/17630-E-Loyola-Dr-UNIT-1821R-Aurora-CO-80013/13097749_zpid/,1 day on Zillow From 2023-08-23,1 bd1 ba800 sqft
"6647 S Kewaunee Way, Aurora, CO 80016","$655,000 ",https://www.zillow.com/homedetails/6647-S-Kewaunee-Way-Aurora-CO-80016/99621941_zpid/,3D Tour From 2023-08-23,"4 bds3 ba3,171 sqft"
"1150 Hillside Street, Aurora, CO 80010","$495,000 ",https://www.zillow.com/homedetails/1150-Hillside-St-Aurora-CO-80010/13036052_zpid/,1 day on Zillow From 2023-08-23,"4 bds2 ba1,769 sqft"
"5752 S Flat Rock Way, Aurora, CO 80016","$774,975 ",https://www.zillow.com/homedetails/5752-S-Flat-Rock-Way-Aurora-CO-80016/99639764_zpid/,On market Aug 25 From 2023-08-23,"5 bds4 ba3,574 sqft"
"7596 S Zante Court, Aurora, CO 80016","$549,000 ",https://www.zillow.com/homedetails/7596-S-Zante-Ct-Aurora-CO-80016/247467060_zpid/,"Price cut: $10,000 (Jul 21) From 2023-08-23","3 bds4 ba2,372 sqft"
"6744 S Winnipeg Circle Unit 105, Aurora, CO 80016","$450,000 ",https://www.zillow.com/homedetails/6744-S-Winnipeg-Cir-APT-105-Aurora-CO-80016/63375255_zpid/,1 day on Zillow From 2023-08-23,"3 bds2 ba1,643 sqft"
"24586 E Calhoun Place Unit C, Aurora, CO 80016","$429,900 ",https://www.zillow.com/homedetails/24586-E-Calhoun-Pl-UNIT-C-Aurora-CO-80016/89849079_zpid/,1 day on Zillow From 2023-08-24,"2 bds2 ba1,561 sqft"
"4812 S Picadilly Court, Aurora, CO 80015","$585,000 ",https://www.zillow.com/homedetails/4812-S-Picadilly-Ct-Aurora-CO-80015/99630655_zpid/,1 day on Zillow From 2023-08-24,"4 bds4 ba2,624 sqft"
"1764 S Pitkin Circle Unit A, Aurora, CO 80017","$199,900 ",https://www.zillow.com/homedetails/1764-S-Pitkin-Cir-UNIT-A-Aurora-CO-80017/13073764_zpid/,1 day on Zillow From 2023-08-24,1 bd1 ba738 sqft
"7170 S Wenatchee Way Unit G, Aurora, CO 80016","$399,000 ",https://www.zillow.com/homedetails/7170-S-Wenatchee-Way-G-Aurora-CO-80016/61197795_zpid/,"Price cut: $6,000 (Aug 23) From 2023-08-24","2 bds2 ba1,144 sqft"
"27874 E Indore Drive, Aurora, CO 80016","$824,990 ",https://www.zillow.com/homedetails/27874-E-Indore-Dr-Aurora-CO-80016/338356092_zpid/,3D Tour From 2023-08-24,"4 bds3 ba4,154 sqft"
,,,,
"7367 S White Crow Way, Aurora, CO 80016","$709,990 ",https://www.zillow.com/homedetails/7367-S-White-Crow-Way-Aurora-CO-80016/338356122_zpid/,"Price cut: $30,000 (Aug 19) From 2023-08-24","3 bds3 ba3,640 sqft"
"72 S Uriah Street, Aurora, CO 80018","$602,950 ",https://www.zillow.com/homedetails/72-S-Uriah-St-Aurora-CO-80016/2055880170_zpid/,1 day on Zillow From 2023-08-24,"4 bds3 ba1,964 sqft"
"7377 S White Crow Way, Aurora, CO 80016","$699,990 ",https://www.zillow.com/homedetails/7377-S-White-Crow-Way-Aurora-CO-80016/338355929_zpid/,1 day on Zillow From 2023-08-24,"3 bds2 ba3,460 sqft"
"15894 Hamilton Place, Aurora, CO 80013","$495,000 ",https://www.zillow.com/homedetails/15894-E-Hamilton-Pl-Aurora-CO-80013/13085392_zpid/,1 day on Zillow From 2023-08-24,"4 bds-- ba2,040 sqft"
"1418 S Bahama Street, Aurora, CO 80017","$470,000 ",https://www.zillow.com/homedetails/1418-S-Bahama-St-Aurora-CO-80017/13075118_zpid/,On market Aug 25 From 2023-08-24,"3 bds2 ba1,192 sqft"
"2235 S Nile Court, Aurora, CO 80014","$500,000 ",https://www.zillow.com/homedetails/2235-S-Nile-Ct-Aurora-CO-80014/13053172_zpid/,1 day on Zillow From 2023-08-24,"2 bds3 ba2,044 sqft"
"726 Troy Court, Aurora, CO 80011","$479,500 ",https://www.zillow.com/homedetails/726-Troy-Ct-Aurora-CO-80011/13033211_zpid/,Price cut: $400 (Aug 24) From 2023-08-24,"4 bds3 ba1,861 sqft"
"Arlington Plan, Mead at Southshore","$613,950+",https://www.zillow.com/community/mead-at-southshore/2062188236_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds2 ba1,880 sqft"
"531 N Jackson Gap Way, Aurora, CO 80018","$680,000 ",https://www.zillow.com/homedetails/531-N-Jackson-Gap-Way-Aurora-CO-80018/99653306_zpid/,3D Tour From 2023-08-24,"6 bds5 ba3,451 sqft"
"19961 E Purdue Place, Aurora, CO 80013","$490,000 ",https://www.zillow.com/homedetails/19961-E-Purdue-Pl-Aurora-CO-80013/13095030_zpid/,Open: Sat. 1-3pm From 2023-08-24,"3 bds2 ba1,675 sqft"
"10001 E Evans Avenue Unit 76c, Denver, CO 80247","$315,000 ",https://www.zillow.com/homedetails/10001-E-Evans-Ave-APT-76C-Denver-CO-80247/13054873_zpid/,On market Aug 25 From 2023-08-24,2 bds2 ba968 sqft
"16838 E Gunnison Drive Unit 8a, Aurora, CO 80017","$349,999 ",https://www.zillow.com/homedetails/16838-E-Gunnison-Dr-UNIT-8A-Aurora-CO-80017/58889383_zpid/,1 day on Zillow From 2023-08-24,"2 bds2 ba1,120 sqft"
"Chicago Plan, Urban Collection at Harmony","$411,950+",https://www.zillow.com/community/urban-collection-at-harmony/2062204196_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,475 sqft"
"16086 E Eldorado Place, Aurora, CO 80013","$475,000 ",https://www.zillow.com/homedetails/16086-E-Eldorado-Pl-Aurora-CO-80013/13085005_zpid/,1 day on Zillow From 2023-08-24,"4 bds2 ba2,116 sqft"
"24306 E Ohio Drive, Aurora, CO 80018","$675,000 ",https://www.zillow.com/homedetails/24306-E-Ohio-Dr-Aurora-CO-80017/2055896842_zpid/,3D Tour From 2023-08-24,"4 bds4 ba3,499 sqft"
"Residence Three Plan, Berkeley Homes at Painted Prairie","$609,900+",https://www.zillow.com/community/berkeley-homes-at-painted-prairie/2061225367_zpid/,Open: M: 1:00 PM-5:00 P... From 2023-08-24,"3 bds3 ba2,165 sqft"
"15167 E Nassau Avenue, Aurora, CO 80014","$525,000 ",https://www.zillow.com/homedetails/15167-E-Nassau-Ave-Aurora-CO-80014/13102579_zpid/,Open: Sat. 11am-2pm From 2023-08-24,"3 bds3 ba2,462 sqft"
"4787 S Salida Court, Aurora, CO 80015","$450,000 ",https://www.zillow.com/homedetails/4787-S-Salida-Ct-Aurora-CO-80015/13107866_zpid/,1 day on Zillow From 2023-08-24,"4 bds2 ba1,278 sqft"
"3235 S Bahama Street, Aurora, CO 80013","$435,000 ",https://www.zillow.com/homedetails/3235-S-Bahama-St-Aurora-CO-80013/13089097_zpid/,2 days on Zillow From 2023-08-24,"4 bds3 ba2,856 sqft"
"1970 S Xanadu Way Unit 104, Aurora, CO 80014","$181,000 ",https://www.zillow.com/homedetails/1970-S-Xanadu-Way-APT-104-Aurora-CO-80014/13050732_zpid/,2 days on Zillow From 2023-08-24,1 bd1 ba588 sqft
"15333 E Temple Place, Aurora, CO 80015","$308,000 ",https://www.zillow.com/homedetails/15333-E-Temple-Pl-Aurora-CO-80015/13106031_zpid/,Open: Sat. 11am-1pm From 2023-08-24,"2 bds2 ba1,164 sqft"
"4460 S Pitkin Street Unit 125, Aurora, CO 80015","$329,000 ",https://www.zillow.com/homedetails/4460-S-Pitkin-St-UNIT-125-Aurora-CO-80015/13107452_zpid/,On market Aug 25 From 2023-08-24,"2 bds2 ba1,040 sqft"
"22542 E Del Norte Drive, Aurora, CO 80016","$635,000 ",https://www.zillow.com/homedetails/22542-E-Del-Norte-Dr-Aurora-CO-80016/245220009_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,601 sqft"
"28 S Nome Street Unit E, Aurora, CO 80012","$350,000 ",https://www.zillow.com/homedetails/28-S-Nome-St-UNIT-E-Aurora-CO-80012/13039145_zpid/,On market Aug 29 From 2023-08-24,"2 bds3 ba1,130 sqft"
"3850 N Gold Bug Street, Aurora, CO 80019","$783,950 ",https://www.zillow.com/homedetails/3850-N-Gold-Bug-St-Aurora-CO-80019/2055895472_zpid/,2 days on Zillow From 2023-08-24,"5 bds3 ba3,877 sqft"
"1980 S Xanadu Way Unit 206, Aurora, CO 80014","$179,000 ",https://www.zillow.com/homedetails/1980-S-Xanadu-Way-APT-206-Aurora-CO-80014/13050750_zpid/,2 days on Zillow From 2023-08-24,1 bd1 ba588 sqft
"17630 E Loyola Drive Unit 1821r, Aurora, CO 80013","$250,000 ",https://www.zillow.com/homedetails/17630-E-Loyola-Dr-UNIT-1821R-Aurora-CO-80013/13097749_zpid/,2 days on Zillow From 2023-08-24,1 bd1 ba800 sqft
"6647 S Kewaunee Way, Aurora, CO 80016","$655,000 ",https://www.zillow.com/homedetails/6647-S-Kewaunee-Way-Aurora-CO-80016/99621941_zpid/,3D Tour From 2023-08-24,"4 bds3 ba3,171 sqft"
"5752 S Flat Rock Way, Aurora, CO 80016","$774,975 ",https://www.zillow.com/homedetails/5752-S-Flat-Rock-Way-Aurora-CO-80016/99639764_zpid/,2 days on Zillow From 2023-08-24,"5 bds4 ba3,574 sqft"
"Plan 2502 Plan, Painted Prairie","$554,990+",https://www.zillow.com/community/painted-prairie/2062312991_zpid/,Open: Mon-Thurs: 10 AM-... From 2023-08-24,"4 bds3 ba2,513 sqft"
"7596 S Zante Court, Aurora, CO 80016","$549,000 ",https://www.zillow.com/homedetails/7596-S-Zante-Ct-Aurora-CO-80016/247467060_zpid/,"Price cut: $10,000 (Jul 21) From 2023-08-24","3 bds4 ba2,372 sqft"
"6744 S Winnipeg Circle Unit 105, Aurora, CO 80016","$450,000 ",https://www.zillow.com/homedetails/6744-S-Winnipeg-Cir-APT-105-Aurora-CO-80016/63375255_zpid/,2 days on Zillow From 2023-08-24,"3 bds2 ba1,643 sqft"
"16153 E Alaska Place Unit 2, Aurora, CO 80017","$249,900 ",https://www.zillow.com/homedetails/16153-E-Alaska-Pl-APT-2-Aurora-CO-80017/13065205_zpid/,On market Aug 25 From 2023-08-24,2 bds2 ba913 sqft
"7119 S Riverwood Way, Aurora, CO 80016","$975,000 ",https://www.zillow.com/homedetails/7119-S-Riverwood-Way-Aurora-CO-80016/295017291_zpid/,2 days on Zillow From 2023-08-24,"5 bds4 ba5,874 sqft"
"Hemingway Plan, Mead at Southshore","$629,950+",https://www.zillow.com/community/mead-at-southshore/2062188233_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds3 ba2,520 sqft"
"4804 S Quintero Circle, Aurora, CO 80015","$450,000 ",https://www.zillow.com/homedetails/4804-S-Quintero-Cir-Aurora-CO-80015/13107661_zpid/,Open: Sat. 11am-2pm From 2023-08-24,"3 bds3 ba1,662 sqft"
"Plan 1885 Plan, Painted Prairie Villas","$469,990+",https://www.zillow.com/community/painted-prairie-villas/2063046175_zpid/,Open: Mon-Tues: 10 AM-6... From 2023-08-24,"3 bds3 ba1,885 sqft"
"24414 E Ford Avenue, Aurora, CO 80018","$615,000 ",https://www.zillow.com/homedetails/24414-E-Ford-Ave-Aurora-CO-80018/295029510_zpid/,2 days on Zillow From 2023-08-24,"3 bds3 ba2,812 sqft"
"Boston Plan, Urban Collection at Harmony","$411,950+",https://www.zillow.com/community/urban-collection-at-harmony/2062202550_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,430 sqft"
"4094 Picadilly Court, Aurora, CO 80019","$575,000 ",https://www.zillow.com/homedetails/4094-N-Picadilly-Ct-Aurora-CO-80019/337810045_zpid/,Open: Thu. 4-6pm From 2023-08-24,"3 bds3 ba2,372 sqft"
"5454 S Sicily Street, Aurora, CO 80015","$700,000 ",https://www.zillow.com/homedetails/5454-S-Sicily-St-Aurora-CO-80015/13111183_zpid/,On market Aug 25 From 2023-08-24,"4 bds3 ba3,927 sqft"
"26334 E Phillips Place, Aurora, CO 80016","$900,000 ",https://www.zillow.com/homedetails/26334-E-Phillips-Pl-Aurora-CO-80016/99607786_zpid/,2 days on Zillow From 2023-08-24,"6 bds5 ba4,786 sqft"
"24390 E 42nd Avenue, Aurora, CO 80019","$436,950 ",https://www.zillow.com/homedetails/24390-E-42nd-Ave-Aurora-CO-80019/2055907772_zpid/,3 days on Zillow From 2023-08-24,"3 bds3 ba1,475 sqft"
"24633 E 36th Avenue, Aurora, CO 80019","$818,950 ",https://www.zillow.com/homedetails/24633-E-36th-Ave-Commerce-City-CO-80022/2055907773_zpid/,3 days on Zillow From 2023-08-24,"4 bds4 ba4,537 sqft"
"13618 E Bethany Place Unit 303, Aurora, CO 80014","$299,500 ",https://www.zillow.com/homedetails/13618-E-Bethany-Pl-APT-303-Aurora-CO-80014/13058344_zpid/,3 days on Zillow From 2023-08-24,"2 bds2 ba1,200 sqft"
"22823 E Orchard Place, Aurora, CO 80015","$549,000 ",https://www.zillow.com/homedetails/22823-E-Orchard-Pl-Aurora-CO-80015/54647177_zpid/,3 days on Zillow From 2023-08-24,"4 bds3 ba2,079 sqft"
"2213 S Kingston Court, Aurora, CO 80014","$539,000 ",https://www.zillow.com/homedetails/2213-S-Kingston-Ct-Aurora-CO-80014/13053451_zpid/,3 days on Zillow From 2023-08-24,"3 bds2 ba2,192 sqft"
"453 S Nome Way, Aurora, CO 80012","$380,000 ",https://www.zillow.com/homedetails/453-S-Nome-Way-Aurora-CO-80012/13042705_zpid/,3 days on Zillow From 2023-08-24,"4 bds2 ba1,628 sqft"
"17620 E Loyola Drive Unit 1731l, Aurora, CO 80013","$247,000 ",https://www.zillow.com/homedetails/17620-E-Loyola-Dr-UNIT-1731L-Aurora-CO-80013/13096759_zpid/,3D Tour From 2023-08-24,1 bd1 ba800 sqft
"Devoe Plan, Red Maple Ridge Neighborhood at Copperleaf","$507,950+",https://www.zillow.com/community/red-maple-ridge-neighborhood-at-copperleaf/2063258109_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"2 bds3 ba1,800 sqft"
"19578 E Purdue Place, Aurora, CO 80013","$491,000 ",https://www.zillow.com/homedetails/19578-E-Purdue-Pl-Aurora-CO-80013/13094789_zpid/,Open: Thu. 8am-7:30pm From 2023-08-24,"3 bds2 ba1,674 sqft"
"24382 E 42nd Avenue, Aurora, CO 80019","$431,950 ",https://www.zillow.com/homedetails/24382-E-42nd-Ave-Aurora-CO-80019/2055910866_zpid/,3 days on Zillow From 2023-08-24,"3 bds3 ba1,438 sqft"
"1822 S Quintero Way Unit 121, Aurora, CO 80017","$355,000 ",https://www.zillow.com/homedetails/1822-S-Quintero-Way-121-Aurora-CO-80017/2055912492_zpid/,3 days on Zillow From 2023-08-24,"2 bds3 ba1,321 sqft"
"960 S Dawson Way Unit 6, Aurora, CO 80012","$225,000 ",https://www.zillow.com/homedetails/960-S-Dawson-Way-UNIT-6-Aurora-CO-80012/67448174_zpid/,3 days on Zillow From 2023-08-24,Studio -- ba678 sqft
"Plan 2282 Modeled Plan, Painted Prairie","$536,990+",https://www.zillow.com/community/painted-prairie/2062312987_zpid/,Open: Mon-Thurs: 10 AM-... From 2023-08-24,"3 bds3 ba2,301 sqft"
"10 N Waterloo Street, Aurora, CO 80018","$760,950 ",https://www.zillow.com/homedetails/10-N-Waterloo-St-Aurora-CO-80018/2055913299_zpid/,3 days on Zillow From 2023-08-24,"5 bds3 ba3,772 sqft"
"26900 E Colfax Avenue Lot 436, Aurora, CO 80018","$160,000 ",https://www.zillow.com/homedetails/26900-E-Colfax-Ave-LOT-436-Aurora-CO-80018/13175914_zpid/,3 days on Zillow From 2023-08-24,"4 bds2 ba1,820 sqft"
"Larkspur ; Residence 40212 Plan, The Outlook at Southshore","$649,990+",https://www.zillow.com/community/outlook-at-southshore/2063415433_zpid/,Open: Mon 10 - 6 Tue 10... From 2023-08-24,"3 bds3 ba2,157 sqft"
"Plan 1963 Plan, Painted Prairie Villas","$479,990+",https://www.zillow.com/community/painted-prairie-villas/2063046176_zpid/,Open: Mon-Tues: 10 AM-6... From 2023-08-24,"3 bds3 ba1,963 sqft"
"923 S Zeno Way Unit 206, Aurora, CO 80017","$219,900 ",https://www.zillow.com/homedetails/923-S-Zeno-Way-UNIT-206-Aurora-CO-80017/13064802_zpid/,3 days on Zillow From 2023-08-24,1 bd1 ba734 sqft
"6966 S Buchanan Court, Aurora, CO 80016","$730,000 ",https://www.zillow.com/homedetails/6966-S-Buchanan-Ct-Aurora-CO-80016/124748167_zpid/,3 days on Zillow From 2023-08-24,"3 bds3 ba3,619 sqft"
"4777 S Odessa Street, Centennial, CO 80015","$730,000 ",https://www.zillow.com/homedetails/4777-S-Odessa-St-Centennial-CO-80015/99626518_zpid/,Open: Sat. 1am-4pm From 2023-08-24,"4 bds3 ba4,012 sqft"
"Residence Four Plan, Berkeley Homes at Painted Prairie","$629,900+",https://www.zillow.com/community/berkeley-homes-at-painted-prairie/2061225368_zpid/,Open: M: 1:00 PM-5:00 P... From 2023-08-24,"4 bds4 ba2,462 sqft"
"HENLEY Plan, Harmony","$637,990+",https://www.zillow.com/community/harmony/2063468457_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"5 bds3 ba2,652 sqft"
"1728 Eagle Street Unit D, Aurora, CO 80011","$250,000 ",https://www.zillow.com/homedetails/1728-Eagle-St-APT-D-Aurora-CO-80011/63839552_zpid/,3 days on Zillow From 2023-08-24,2 bds1 ba828 sqft
"14001 E Marina Drive Unit 505, Aurora, CO 80014","$412,500 ",https://www.zillow.com/homedetails/14001-E-Marina-Dr-APT-505-Aurora-CO-80014/13082712_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,560 sqft"
"12028 E Harvard Avenue, Aurora, CO 80014","$400,000 ",https://www.zillow.com/homedetails/12028-E-Harvard-Ave-Aurora-CO-80014/13054117_zpid/,4 days on Zillow From 2023-08-24,"3 bds2 ba1,572 sqft"
"3140 Revere Street, Aurora, CO 80011","$430,000 ",https://www.zillow.com/homedetails/3140-Revere-St-Aurora-CO-80011/13018152_zpid/,4 days on Zillow From 2023-08-24,"3 bds2 ba2,352 sqft"
"19149 E Milan Circle, Aurora, CO 80013","$499,900 ",https://www.zillow.com/homedetails/19149-E-Milan-Cir-Aurora-CO-80013/13093987_zpid/,Open: Sat. 12-2pm From 2023-08-24,"4 bds4 ba2,146 sqft"
"3857 S Fraser Street, Aurora, CO 80014","$390,000 ",https://www.zillow.com/homedetails/3857-S-Fraser-St-Aurora-CO-80014/13101033_zpid/,Open: Thu. 8am-7:30pm From 2023-08-24,"4 bds2 ba1,872 sqft"
"Plan 1821 Plan, Painted Prairie","$519,990+",https://www.zillow.com/community/painted-prairie/2062500243_zpid/,Open: Mon-Thurs: 10 AM-... From 2023-08-24,"3 bds2 ba1,821 sqft"
"Yorktown Plan, Mead at Southshore","$660,950+",https://www.zillow.com/community/mead-at-southshore/2062188234_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds3 ba2,930 sqft"
"Sierra Plan, Harmony","$519,990+",https://www.zillow.com/community/harmony/2064153781_zpid/,Open: Monday?Saturday 1... From 2023-08-24,"5 bds3 ba2,476 sqft"
"Wellesley ; Residence 50264 Plan, The Outlook at Southshore","$802,990+",https://www.zillow.com/community/outlook-at-southshore/2063415431_zpid/,Open: Mon 10 - 6 Tue 10... From 2023-08-24,"4 bds5 ba3,138 sqft"
"7119 S Riverwood Way, Aurora, CO 80016","$975,000 ",https://www.zillow.com/homedetails/7119-S-Riverwood-Way-Aurora-CO-80016/295017291_zpid/,3 days on Zillow From 2023-08-25,"5 bds4 ba5,874 sqft"
"Hemingway Plan, Mead at Southshore","$629,950+",https://www.zillow.com/community/mead-at-southshore/2062188233_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds3 ba2,520 sqft"
